Actor,Film,Year,Genre,BoxOffice(INR Crore),IMDb
Shah Rukh Khan,Pathaan,2023,Action,1050,7.2
Salamn Khan,Tiger Zinda Hai,2017,Action,565,6
Aamir Khan,Dangal,2016,Biography,2024,8.4
Ranbir Kapoor,Brahmastra,2022,Fantasy,431,5.6
Ranveer Singh,Padmavat,2018,Historical,585,7
Ayushmaan Khurana,Andhadhun,2018,Thriller,111,8.3
Rajkumar Rao,Stree,2018,Horror Comedy,180,7.5
Hrithik Roshan,War,2019,Action,475,6.5
Akshay Kumar,Good Newz,2019,Comedy,318,7
Kartik Aaryan,Bhool Bhulaiyaa 2,2022,Horror Comedy,266,5.9
Varun Dhavan,Badrinath ki Dulhania,2017,Romantic Comedy,201,6.1
Vicky Kaushal,URI: The Surgical Strike,2019,Action,342,8.2
